N,Qf,Sigma,Mean E2,Mean E10,Overfit
120,1,0.0,0.0,0.0,0.0
120,1,0.05,0.0025,0.0024,-0.0001
120,1,0.3,0.0833,0.081,-0.0023
120,1,1.0,0.9395,0.939,-0.0005
120,1,1.5,2.2511,2.1825,-0.0686
120,1,2.0,3.9785,3.9622,-0.0163
120,2,0.0,0.0,0.0,0.0
120,2,0.05,0.0025,0.0025,0.0
120,2,0.3,0.0861,0.0851,-0.001
120,2,1.0,1.0369,0.989,-0.0479
120,2,1.5,2.1016,2.1845,0.0829
120,2,2.0,3.5778,3.5341,-0.0437
120,5,0.0,0.1582,0.0,-0.1582
120,5,0.05,0.1162,0.0025,-0.1137
120,5,0.3,0.1572,0.0875,-0.0697
120,5,1.0,1.1556,1.0053,-0.1503
120,5,1.5,2.4052,2.3461,-0.0591
120,5,2.0,3.9343,3.8933,-0.041
120,10,0.0,0.183,0.0,-0.183
120,10,0.05,0.2701,0.0024,-0.2677
120,10,0.3,0.2385,0.0917,-0.1468
120,10,1.0,1.1154,1.0036,-0.1118
120,10,1.5,2.6523,2.3221,-0.3302
120,10,2.0,4.1296,3.8047,-0.3249
120,25,0.0,0.2731,0.2066,-0.0665
120,25,0.05,0.3612,0.1839,-0.1773
120,25,0.3,0.2832,0.1856,-0.0976
120,25,1.0,1.2782,1.1269,-0.1513
120,25,1.5,2.2537,2.2233,-0.0304
120,25,2.0,4.0838,3.8645,-0.2193
